Date,Trips
2016-09-18,397760
2016-09-19,346398
2016-09-20,357448
2016-09-21,359311
2016-09-22,387441
2016-09-23,426816
2016-09-24,463454
2016-09-25,391841
2016-09-26,344150
2016-09-27,369338
2016-09-28,391905
2016-09-29,411788
2016-09-30,476802
2016-10-01,437328
2016-10-02,382206
2016-10-03,314134
2016-10-04,335843
2016-10-05,376877
2016-10-06,408641
2016-10-07,423088
2016-10-08,471318
2016-10-09,415904
2016-10-10,325232
2016-10-11,340464
2016-10-12,324452
2016-10-13,404169
2016-10-14,440727
2016-10-15,464922
2016-10-16,403485
2016-10-17,342410
2016-10-18,359739
2016-10-19,390362
2016-10-20,416613
2016-10-21,487689
2016-10-22,511821
2016-10-23,415773
2016-10-24,354282
2016-10-25,393213
2016-10-26,414788
2016-10-27,494932
2016-10-28,494333
2016-10-29,529010
2016-10-30,471743
2016-10-31,374093
2016-11-01,387986
2016-11-02,388804
2016-11-03,434862
2016-11-04,459520
2016-11-05,482095
2016-11-06,395450
2016-11-07,372146
2016-11-08,365860
2016-11-09,415854
2016-11-10,418606
2016-11-11,456164
2016-11-12,491405
2016-11-13,419595
2016-11-14,356661
2016-11-15,418716
2016-11-16,388797
2016-11-17,416286
2016-11-18,443891
2016-11-19,486588
2016-11-20,452911
2016-11-21,412670
2016-11-22,431609
2016-11-23,431748
2016-11-24,369520
2016-11-25,345706
2016-11-26,389512
2016-11-27,374021
2016-11-28,372713
2016-11-29,463194
2016-11-30,453745
2016-12-01,452490
2016-12-02,500696
2016-12-03,534162
2016-12-04,457793
2016-12-05,409738
2016-12-06,466585
2016-12-07,444520
2016-12-08,484789
2016-12-09,543698
2016-12-10,572306
2016-12-11,479093
2016-12-12,420286
2016-12-13,426727
2016-12-14,461293
2016-12-15,556242
2016-12-16,580773
2016-12-17,553942
2016-12-18,465982
2016-12-19,430351
2016-12-20,432321
2016-12-21,432472
2016-12-22,432676
2016-12-23,419658
2016-12-24,390726
2016-12-25,310035
2016-12-26,285508
2016-12-27,318378
2016-12-28,351170
2016-12-29,392398
2016-12-30,426911
2016-12-31,477702
2017-01-01,455219
2017-01-02,324948
2017-01-03,384925
2017-01-04,371031
2017-01-05,410811
2017-01-06,463107
2017-01-07,461323
2017-01-08,438251
2017-01-09,429535
2017-01-10,410052
2017-01-11,417312
2017-01-12,424978
2017-01-13,476561
2017-01-14,522585
2017-01-15,453061
2017-01-16,366413
2017-01-17,455963
2017-01-18,421150
2017-01-19,435384
2017-01-20,489938
2017-01-21,471691
2017-01-22,432507
2017-01-23,464632
2017-01-24,476799
2017-01-25,431783
2017-01-26,457961
2017-01-27,504193
2017-01-28,535826
2017-01-29,448610
2017-01-30,397537
2017-01-31,423126
2017-02-01,420401
2017-02-02,455977
2017-02-03,528190
2017-02-04,554757
2017-02-05,502199
2017-02-06,417318
2017-02-07,450524
2017-02-08,451903
2017-02-09,346974
2017-02-10,566432
2017-02-11,579782
2017-02-12,522867
2017-02-13,450253
2017-02-14,504382
2017-02-15,476792
2017-02-16,473291
2017-02-17,519835
2017-02-18,514009
2017-02-19,464024
2017-02-20,385479
2017-02-21,403200
2017-02-22,421290
2017-02-23,456412
2017-02-24,501682
2017-02-25,567666
2017-02-26,487778
2017-02-27,432890
2017-02-28,428643
2017-03-01,464864
2017-03-02,512146
2017-03-03,570644
2017-03-04,641681
2017-03-05,527257
2017-03-06,447062
2017-03-07,463508
2017-03-08,465026
2017-03-09,499269
2017-03-10,585629
2017-03-11,632786
2017-03-12,533818
2017-03-13,503940
2017-03-14,222276
2017-03-15,507221
2017-03-16,526580
2017-03-17,537469
2017-03-18,605158
2017-03-19,482482
2017-03-20,426770
2017-03-21,428142
2017-03-22,497166
2017-03-23,502387
2017-03-24,528855
2017-03-25,565217
2017-03-26,495810
2017-03-27,435914
2017-03-28,491890
2017-03-29,457108
2017-03-30,496322
2017-03-31,648642
2017-04-01,521968
2017-04-02,364712
2017-04-03,438019
2017-04-04,473117
2017-04-05,476122
2017-04-06,557578
2017-04-07,563706
2017-04-08,578146
