Date,Trips
2018-10-26,846297
2018-10-27,1039874
2018-10-28,826959
2018-10-29,662484
2018-10-30,673774
2018-10-31,719270
2018-11-01,1
2018-11-01,772645
2018-11-02,829881
2018-11-03,902019
2018-11-04,730173
2018-11-05,722253
2018-11-06,738926
2018-11-07,697571
2018-11-08,743535
2018-11-09,872041
2018-11-10,936089
2018-11-11,799635
2018-11-12,652640
2018-11-13,730533
2018-11-14,751742
2018-11-15,688694
2018-11-16,847376
2018-11-17,924217
2018-11-18,794840
2018-11-19,665500
2018-11-20,705672
2018-11-21,750724
2018-11-22,723706
2018-11-23,668683
2018-11-24,766356
2018-11-25,677297
2018-11-26,730094
2018-11-27,700738
2018-11-28,725577
2018-11-29,761961
2018-11-30,859356
2018-12-01,946924
2018-12-02,830484
2018-12-03,678278
2018-12-04,716727
2018-12-05,753324
2018-12-06,795224
2018-12-07,882923
2018-12-08,970125
2018-12-09,809723
2018-12-10,704861
2018-12-11,735890
2018-12-12,768395
2018-12-13,822745
2018-12-14,904981
2018-12-15,961819
2018-12-16,931260
2018-12-17,697999
2018-12-18,750866
2018-12-19,759039
2018-12-20,818491
2018-12-21,858437
2018-12-22,793267
2018-12-23,677351
2018-12-24,640740
2018-12-25,534539
2018-12-26,540976
2018-12-27,594303
2018-12-28,721069
2018-12-29,715759
2018-12-30,683406
2018-12-31,854219
